@relation NoLatd5_sum

@attribute RCC1 numeric
@attribute RCC2 numeric
@attribute RCC3 numeric
@attribute RCC4 numeric
@attribute RCC5 numeric
@attribute RCC6 numeric
@attribute RCC7 numeric
@attribute RCC8 numeric
@attribute RCC9 numeric
@attribute RCC10 numeric
@attribute RCC11 numeric
@attribute RCC12 numeric
@attribute RCC13 numeric
@attribute RCC14 numeric
@attribute RCC15 numeric
@attribute RCC16 numeric
@attribute RCC17 numeric
@attribute RCC18 numeric
@attribute RCC19 numeric
@attribute RCC20 numeric
@attribute RCC21 numeric
@attribute RCC22 numeric
@attribute RCC23 numeric
@attribute RCC24 numeric
@attribute RCC25 numeric
@attribute RCC26 numeric
@attribute Class {P,N}

@data
5,0,13,1,12,1,0,1,0,8,10,5,10,5,4,0,2,2,7,5,8,0,2,2,0,10,N
1,2,25,0,1,0,4,8,0,0,1,0,1,0,28,0,0,0,0,0,0,0,0,0,0,22,N
2,4,67,0,0,1,19,9,0,0,1,0,0,10,4,0,0,0,0,0,0,0,0,0,0,0,N
8,5,36,1,13,5,91,21,0,1,12,15,6,84,17,0,0,0,0,0,3,2,0,6,29,11,N
0,1,40,0,2,0,20,8,0,0,0,1,1,20,5,0,0,0,0,0,0,0,0,0,5,1,N
0,1,13,0,3,0,5,14,0,1,6,8,3,1,4,0,1,0,0,2,3,2,0,6,1,2,N
1,1,12,0,3,1,6,5,0,0,14,11,4,28,5,0,0,1,0,1,2,3,1,16,27,4,N
4,6,38,0,2,5,49,11,0,0,0,0,0,18,3,0,0,0,0,0,0,0,0,0,2,0,N
5,7,22,0,7,2,13,8,0,0,0,3,1,3,23,0,0,0,0,0,0,0,0,0,0,47,N
0,0,15,0,0,0,3,3,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,49,N
2,2,7,0,0,0,5,1,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,25,N
0,0,2,0,0,0,0,2,0,0,0,0,0,0,53,0,0,0,0,0,0,1,0,1,0,29,N
0,1,9,0,0,0,6,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,41,N
1,0,7,1,2,1,7,15,0,0,0,1,0,1,49,0,0,0,0,0,0,0,0,0,0,10,N
1,1,12,0,0,0,3,10,0,0,0,0,0,3,31,0,0,0,0,0,0,0,0,0,0,32,N
0,0,12,0,2,0,4,7,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,24,N
2,0,10,0,0,0,0,8,0,0,0,1,0,1,37,0,0,0,0,0,0,0,0,0,0,31,N
2,0,9,0,1,0,1,12,0,0,0,1,0,2,39,0,0,0,0,0,0,3,0,0,1,21,N
18,8,7,5,30,7,22,20,0,7,25,25,22,34,17,0,0,4,1,8,12,8,1,17,25,30,N
0,0,0,0,0,0,0,7,0,0,0,1,0,0,3,0,0,0,0,1,0,0,0,0,0,22,N
3,4,51,0,9,9,48,16,0,0,0,2,0,5,20,0,0,0,0,0,1,1,0,1,2,21,N
4,1,39,0,2,1,34,7,0,0,0,2,0,16,5,0,0,0,0,1,0,0,0,0,2,7,N
1,2,16,0,4,1,4,3,0,0,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,45,N
0,0,17,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,N
0,0,13,0,0,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,N
0,0,15,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
3,2,60,0,7,7,60,9,0,0,2,3,2,20,34,0,0,0,0,0,0,0,0,0,2,7,N
4,8,37,0,8,8,61,11,0,0,1,4,0,21,35,0,0,0,0,0,0,0,0,0,2,9,N
3,3,39,0,7,10,65,11,0,0,2,3,0,21,28,0,0,0,0,0,0,0,0,0,1,17,N
0,3,28,0,2,2,22,8,0,0,1,0,0,10,29,0,0,0,0,0,0,0,0,0,1,10,N
0,2,29,0,2,1,16,7,0,0,1,0,0,7,27,0,0,0,0,0,0,0,0,0,1,15,N
1,2,38,0,1,1,15,9,0,0,2,1,0,8,25,0,0,0,0,0,0,0,0,0,0,12,N
2,0,12,0,1,1,2,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,N
0,0,27,0,0,0,3,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,1,N
1,1,25,0,1,1,3,3,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,N
1,1,28,0,1,0,4,4,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,2,N
1,0,13,0,1,3,8,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,4,N
2,1,17,0,1,2,6,4,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,2,N
0,0,20,0,1,1,6,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,N
1,0,11,0,2,2,9,2,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,3,N
0,0,12,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,N
1,4,52,0,9,6,38,16,0,0,0,2,1,10,12,0,0,0,0,0,0,0,0,0,0,5,N
4,1,32,1,5,5,38,5,0,0,0,3,2,16,11,0,0,0,0,0,0,0,0,0,1,6,N
3,2,50,0,5,5,39,9,0,0,0,2,2,13,13,0,0,0,0,0,0,0,0,0,0,5,N
7,17,74,0,14,10,73,28,0,0,2,6,0,26,159,0,0,0,0,0,0,0,0,0,1,69,N
2,14,67,1,11,9,74,15,0,0,0,4,1,15,129,0,0,0,0,0,0,0,0,0,4,40,N
10,12,87,0,16,8,74,22,0,0,1,5,0,25,166,0,0,0,0,0,0,0,0,0,4,55,N
3,13,58,0,7,10,70,18,0,0,2,3,0,20,143,0,0,0,0,0,0,0,0,0,1,28,N
0,0,5,0,5,0,5,12,0,1,13,6,1,14,11,0,0,1,0,2,3,5,1,7,17,5,N
0,1,2,1,3,1,1,3,0,0,3,5,3,1,4,0,1,4,0,3,5,0,0,2,0,4,N
