@relation Latd5_sum

@attribute RCC1 numeric
@attribute RCC2 numeric
@attribute RCC3 numeric
@attribute RCC4 numeric
@attribute RCC5 numeric
@attribute RCC6 numeric
@attribute RCC7 numeric
@attribute RCC8 numeric
@attribute RCC9 numeric
@attribute RCC10 numeric
@attribute RCC11 numeric
@attribute RCC12 numeric
@attribute RCC13 numeric
@attribute RCC14 numeric
@attribute RCC15 numeric
@attribute RCC16 numeric
@attribute RCC17 numeric
@attribute RCC18 numeric
@attribute RCC19 numeric
@attribute RCC20 numeric
@attribute RCC21 numeric
@attribute RCC22 numeric
@attribute RCC23 numeric
@attribute RCC24 numeric
@attribute RCC25 numeric
@attribute RCC26 numeric
@attribute Class {P,N}

@data
17,34,30,0,33,24,30,8,0,0,3,5,3,12,95,0,0,0,0,0,0,0,0,0,0,0,N
1,1,9,0,0,0,2,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,N
1,1,11,0,0,0,0,4,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,N
0,0,3,0,1,1,1,4,0,0,0,0,0,2,33,0,0,0,0,0,0,0,0,0,0,0,N
21,43,25,0,39,24,29,19,0,0,3,7,4,12,94,0,0,0,0,1,0,1,0,0,0,2,N
21,37,32,0,42,23,26,17,0,0,0,8,2,12,96,0,0,0,0,0,0,1,0,0,0,2,N
21,54,32,0,37,25,32,14,0,0,1,5,2,12,100,0,0,0,0,0,0,0,0,0,0,0,N
20,47,30,0,39,25,28,18,0,0,2,5,1,11,92,0,0,0,0,0,0,0,0,0,0,1,N
13,15,9,4,19,8,83,7,0,3,18,2,9,115,25,0,0,0,0,1,4,1,0,3,17,1,N
11,105,19,0,8,42,33,12,0,0,2,1,2,11,25,0,0,0,0,0,0,0,0,0,0,0,N
16,105,23,0,14,46,32,9,0,0,2,3,4,12,18,0,0,0,0,0,0,0,0,0,0,0,N
10,108,20,0,15,44,43,10,0,0,2,3,5,12,21,0,0,0,0,0,0,0,0,0,0,0,N
9,106,20,0,14,46,36,11,0,0,4,2,4,12,17,0,0,0,0,0,0,0,0,0,0,0,N
8,103,17,0,15,52,40,11,0,0,2,1,3,8,18,0,0,0,0,0,0,0,0,0,0,0,N
10,91,18,0,21,48,36,17,0,0,2,1,5,15,15,0,0,0,0,0,0,0,0,0,0,0,N
13,101,24,1,18,46,32,13,0,0,2,2,2,13,18,0,0,0,0,0,0,0,0,0,0,0,N
16,103,23,0,15,50,34,12,0,0,2,1,3,9,20,0,0,0,0,0,0,0,0,0,0,0,N
13,98,23,1,12,47,35,9,0,0,3,2,4,15,18,0,0,0,0,0,0,0,0,0,0,0,N
11,101,22,0,13,52,40,12,0,0,2,2,4,10,21,0,0,0,0,0,0,0,0,0,0,0,N
13,92,20,0,17,54,42,12,0,0,4,2,3,11,16,0,0,0,0,0,0,0,0,0,0,0,N
16,12,17,1,19,3,7,7,0,0,0,2,0,1,78,0,0,0,0,0,0,0,0,0,0,0,N
10,14,10,1,19,6,4,8,0,0,0,1,0,1,75,0,0,0,0,0,0,0,0,0,0,1,N
11,17,16,1,18,3,5,10,0,0,0,1,0,1,75,0,0,0,0,0,0,0,0,0,0,1,N
9,10,12,0,14,2,4,5,0,0,0,1,0,2,78,0,0,0,0,0,0,0,0,0,0,0,N
16,10,11,2,32,5,8,8,0,0,0,1,0,1,74,0,0,0,0,0,0,0,0,0,0,1,N
5,7,13,2,13,4,6,14,0,0,0,0,0,2,52,0,0,0,0,0,0,0,0,0,0,0,N
0,19,30,0,2,15,10,7,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,N
1,19,30,0,1,14,11,8,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,N
14,91,46,1,20,54,57,17,0,0,1,0,3,20,10,0,0,0,0,0,0,0,0,0,0,0,N
17,92,46,0,28,50,58,19,0,0,1,0,2,24,11,0,0,0,0,0,0,0,0,0,0,0,N
0,11,25,0,4,17,9,7,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,N
2,20,34,0,3,15,9,7,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,N
0,18,29,0,1,12,6,5,0,0,2,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,N
0,39,18,1,6,24,29,8,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,N
2,37,16,0,9,18,22,7,0,0,0,0,1,6,1,0,0,0,0,0,0,0,0,0,0,0,N
4,36,17,0,8,26,26,7,0,0,0,0,1,6,2,0,0,0,0,0,0,0,0,0,0,0,N
3,32,12,0,11,22,32,9,0,0,0,0,1,8,1,0,0,0,0,0,0,0,0,0,0,0,N
11,6,2,9,61,3,14,3,1,16,10,7,18,14,77,0,0,0,2,0,1,2,0,1,0,2,N
3,0,3,0,1,2,1,2,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,N
4,0,5,0,3,0,4,8,0,1,1,1,0,2,65,0,0,0,0,0,0,0,0,0,0,0,N
5,10,3,1,14,3,4,4,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,N
0,1,3,0,1,6,4,1,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,N
3,0,0,8,41,0,4,3,0,11,7,7,12,4,76,0,0,1,2,0,0,16,0,2,1,2,N
14,6,7,5,32,4,8,9,0,9,13,8,13,4,34,0,0,0,3,2,4,9,1,2,0,3,N
12,14,13,0,3,4,4,13,0,0,0,2,0,0,55,0,0,0,0,0,0,0,0,0,0,0,N
5,14,6,0,6,2,8,7,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,N
12,7,8,0,8,3,5,13,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,3,N
12,9,6,2,6,3,2,11,0,0,0,5,1,2,55,0,0,0,0,0,0,1,0,0,1,3,N
28,62,40,1,27,42,38,17,0,0,3,3,2,10,98,0,0,0,0,0,0,0,0,0,0,0,N
40,60,38,0,24,43,42,18,0,0,2,4,3,9,95,0,0,0,0,0,0,0,0,0,0,0,N
28,63,32,0,29,41,46,16,0,0,3,5,1,9,94,0,0,0,0,0,0,0,0,0,0,0,N
1,0,4,0,0,0,0,3,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,N
13,37,23,1,33,25,34,19,0,0,0,5,0,7,38,0,0,0,0,0,0,0,0,0,0,1,N
9,6,6,4,20,9,14,6,0,2,11,4,6,19,13,0,0,0,0,2,2,2,0,5,5,0,N
1,1,5,2,12,2,6,4,0,2,5,0,4,4,43,0,0,0,1,0,0,2,0,0,0,2,N
0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
0,0,12,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,N
0,0,6,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,N
1,2,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
10,57,25,3,22,33,27,6,0,0,2,4,1,5,40,0,0,0,0,0,0,0,0,0,0,0,N
